id,enable_settings,requirement_type,invert,data
station_construction_num_expansions,,IntegerFromMarketTagSubstring,false,"{
	'setting_id' : 'boggledStationCrampedQuartersSizeGrowthReductionStarts',
	'tag_substring' : 'boggled_station_construction_numExpansions_',
	'max_value' : 11
}"
,
system_star_not_has_coronal_tap,,SystemStarHasTags,true,"[ 'has_coronal_tap' ]"
system_star_blue_giant,,SystemStarType,false,"star_blue_giant"
system_star_blue_supergiant,,SystemStarType,false,"star_blue_supergiant"
system_star_US_blue_giant,,SystemStarType,false,"US_star_blue_giant"
,
player_has_skill_automated_ships,,PlayerHasSkill,false,"automated_ships"
,
market_storage_contains_at_least_easy_domain_artifacts,,MarketStorageContainsAtLeast,false,"{
	'submarket_id' : 'storage',
	'commodity_id' : 'domain_artifacts',
	'setting_id' : 'boggledDomainTechCraftingArtifactCostEasy',
	'quantity' : 1000
}"
market_storage_contains_at_least_medium_domain_artifacts,,MarketStorageContainsAtLeast,false,"{
	'submarket_id' : 'storage',
	'commodity_id' : 'domain_artifacts',
	'setting_id' : 'boggledDomainTechCraftingArtifactCostMedium',
	'quantity' : 2000
}"
market_storage_contains_at_least_hard_domain_artifacts,,MarketStorageContainsAtLeast,false,"{
	'submarket_id' : 'storage',
	'commodity_id' : 'domain_artifacts',
	'setting_id' : 'boggledDomainTechCraftingArtifactCostHard',
	'quantity' : 4000
}"
,
player_has_at_least_2_story_points,,PlayerHasStoryPointsAtLeast,false,2
,
market_has_at_least_100k_residents,,MarketIsAtLeastSize,false,5
,
atmosphere_processor_does_not_have_shortage,,IndustryHasShortage,true,"[ 'heavy_machinery' ]"
,
chameleon_does_have_shortage,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,IndustryHasShortage,false,"[ 'domain_artifacts' ]"
,
genelab_does_have_shortage,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,IndustryHasShortage,false,"[ 'domain_artifacts' ]"
genelab_does_not_have_shortage,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,IndustryHasShortage,true,"[ 'domain_artifacts' ]"
kletka_simulator_has_alpha_core,,MarketHasIndustryWithAICore,false,"{
	'industry_id' : 'BOGGLED_KLETKA_SIMULATOR',
	'ai_core_id' : 'alpha_core'
}"
kletka_simulator_has_beta_core,,MarketHasIndustryWithAICore,false,"{
	'industry_id' : 'BOGGLED_KLETKA_SIMULATOR',
	'ai_core_id' : 'beta_core'
}"
kletka_simulator_has_gamma_core,,MarketHasIndustryWithAICore,false,"{
	'industry_id' : 'BOGGLED_KLETKA_SIMULATOR',
	'ai_core_id' : 'gamma_core'
}"
,
kletka_simulator_does_not_have_shortage,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,IndustryHasShortage,true,"[ 'domain_artifacts' ]"
,
perihelion_project_does_have_domain_artifacts_shortage,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,IndustryHasShortage,false,"[ 'domain_artifacts' ]"
perihelion_project_does_have_shortage,,IndustryHasShortage,false,"[ 'metals', 'rare_metals', 'heavy_machinery' ]"
,
player_fleet_not_in_hyperspace,,FleetInHyperspace,true,
system_has_jump_points,,SystemHasJumpPoints,false,
system_has_planets,,SystemHasPlanets,false,
target_planet_owned_by_player,,TargetPlanetOwnedBy,false,"[ 'player' ]"
target_planet_governed_by_player,boggledCanBuildAstropolisOnPurchasedGovernorshipPlanets,TargetPlanetGovernedByPlayer,false,
target_planet_owned_by_player_or_neutral,,TargetPlanetOwnedBy,false,"[ 'player', 'neutral' ]"
target_planet_not_owned_by_player_or_neutral,,TargetPlanetOwnedBy,true,"[ 'player', 'neutral' ]"
target_planet_not_owned_by_player,,TargetPlanetOwnedBy,true,"[ 'player' ]"
target_planet_too_close_to_orbit_focus,boggledAstropolisFollowOrbitalRequirements,TargetPlanetOrbitFocusWithinDistance,true,900
target_planet_too_close_to_star,,TargetPlanetStarWithinDistance,true,1400
target_planet_too_many_moons,,TargetPlanetMoonCountLessThan,false,4
target_planet_too_crowded,,TargetPlanetOrbitersTooClose,false,400
,
target_station_owned_by_player_or_neutral,,TargetStationOwnedBy,false,"[ 'player', 'neutral' ]"
target_station_not_colonizable,,TargetStationColonizable,true,
,
ability_astropolis_station_target_planet_within_range,boggledAstropolisFollowOrbitalRequirements,TargetPlanetWithinDistance,false,500
ability_astropolis_station_target_planet_moon_too_close,boggledAstropolisFollowOrbitalRequirements,TargetPlanetOrbitersWithinDistance,true,500
ability_astropolis_station_target_planet_too_small,boggledAstropolisFollowOrbitalRequirements,TargetPlanetIsAtLeastSize,false,125
ability_astropolis_station_target_planet_too_many_stations,,TargetPlanetStationCountLessThan,false,"{
	'station_tags' : [ 'boggled_astropolis' ],
	'setting_id' : 'boggledMaxNumAstropoliPerPlanet',
	'max_num' : 24
}"
,
ability_astropolis_station_fleet_contains_credits,,FleetStorageContainsAtLeast,false,"{
	'setting_id' : 'boggledAstropolisStationBuildCreditCost',
	'quantity' : 500000
}"
ability_astropolis_station_fleet_contains_crew,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'crew',
	'setting_id' : 'boggledAstropolisStationBuildCrewCost',
	'quantity' : 1000,
	'job_id' : 'As_S'
}"
ability_astropolis_station_fleet_contains_heavy_machinery,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'heavy_machinery',
	'setting_id' : 'boggledAstropolisStationBuildHeavyMachineryCost',
	'quantity' : 250,
	'job_id' : 'As_S'
}"
ability_astropolis_station_fleet_contains_metals,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'metals',
	'setting_id' : 'boggledAstropolisStationBuildMetalCost',
	'quantity' : 1000,
	'job_id' : 'As_S'
}"
ability_astropolis_station_fleet_contains_transplutonics,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'rare_metals',
	'setting_id' : 'boggledAstropolisStationBuildTransplutonicsCost',
	'quantity' : 250,
	'job_id' : 'As_S'
}"
,
ability_mining_station_too_close_to_jump_point,,FleetTooCloseToJumpPoint,false,300
ability_mining_station_fleet_in_asteroid_belt,,FleetInAsteroidBelt,false,
ability_mining_station_fleet_in_asteroid_field,,FleetInAsteroidField,false,
ability_mining_station_too_many_stations,,TargetSystemStationCountLessThan,false,"{
	'station_tags' : [ 'boggled_mining' ],
	'setting_id' : 'boggledMaxNumMiningStationsPerSystem',
	'max_num' : 1
}"
ability_mining_station_fleet_contains_credits,,FleetStorageContainsAtLeast,false,"{
	'setting_id' : 'boggledMiningStationBuildCreditCost',
	'quantity' : 500000
}"
ability_mining_station_fleet_contains_crew,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'crew',
	'setting_id' : 'boggledMiningStationBuildCrewCost',
	'quantity' : 1000,
	'job_id' : 'Mi_S'
}"
ability_mining_station_fleet_contains_heavy_machinery,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'heavy_machinery',
	'setting_id' : 'boggledMiningStationBuildHeavyMachineryCost',
	'quantity' : 250,
	'job_id' : 'Mi_S'
}"
ability_mining_station_fleet_contains_metals,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'metals',
	'setting_id' : 'boggledMiningStationBuildMetalCost',
	'quantity' : 1000,
	'job_id' : 'Mi_S'
}"
ability_mining_station_fleet_contains_transplutonics,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'rare_metals',
	'setting_id' : 'boggledMiningStationBuildTransplutonicsCost',
	'quantity' : 250,
	'job_id' : 'Mi_S'
}"
,
ability_siphon_station_target_planet_within_range,,TargetPlanetWithinDistance,false,250
ability_siphon_station_target_planet_moon_too_close,,TargetPlanetOrbitersWithinDistance,true,250
ability_siphon_station_target_planet_too_many_stations,,TargetPlanetStationCountLessThan,false,"{
	'station_tags' : [ 'boggled_siphon' ],
	'max_num' : 1
}"
,
ability_siphon_station_fleet_contains_credits,,FleetStorageContainsAtLeast,false,"{
	'setting_id' : 'boggledSiphonStationBuildCreditCost',
	'quantity' : 500000
}"
ability_siphon_station_fleet_contains_crew,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'crew',
	'setting_id' : 'boggledSiphonStationBuildCrewCost',
	'quantity' : 1000,
	'job_id' : 'Si_S'
}"
ability_siphon_station_fleet_contains_heavy_machinery,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'heavy_machinery',
	'setting_id' : 'boggledSiphonStationBuildHeavyMachineryCost',
	'quantity' : 250,
	'job_id' : 'Si_S'
}"
ability_siphon_station_fleet_contains_metals,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'metals',
	'setting_id' : 'boggledSiphonStationBuildMetalCost',
	'quantity' : 1000,
	'job_id' : 'Si_S'
}"
ability_siphon_station_fleet_contains_transplutonics,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'rare_metals',
	'setting_id' : 'boggledSiphonStationBuildTransplutonicsCost',
	'quantity' : 250,
	'job_id' : 'Si_S'
}"
,
ability_colonize_abandoned_station_system_has_station,,SystemHasStations,false,
ability_colonize_abandoned_station_target_station_within_range,,TargetStationWithinDistance,false,400
ability_colonize_abandoned_station_target_station_colonizable,,TargetStationColonizable,false,
ability_colonize_abandoned_station_target_station_size_0,,StationMarketIsExactlySize,false,0
,
ability_colonize_abandoned_station_fleet_contains_credits,,FleetStorageContainsAtLeast,false,"{
	'setting_id' : 'boggledStationRecolonizeCreditCost',
	'quantity' : 250000
}"
ability_colonize_abandoned_station_fleet_contains_crew,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'crew',
	'setting_id' : 'boggledStationRecolonizeCrewCost',
	'quantity' : 500,
	'job_id' : 'Ab_S'
}"
ability_colonize_abandoned_station_fleet_contains_heavy_machinery,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'heavy_machinery',
	'setting_id' : 'boggledStationRecolonizeHeavyMachineryCost',
	'quantity' : 125,
	'job_id' : 'Ab_S'
}"
ability_colonize_abandoned_station_fleet_contains_metals,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'metals',
	'setting_id' : 'boggledStationRecolonizeMetalCost',
	'quantity' : 500,
	'job_id' : 'Ab_S'
}"
ability_colonize_abandoned_station_fleet_contains_transplutonics,,FleetStorageContainsAtLeast,false,"{
	'commodity_id' : 'rare_metals',
	'setting_id' : 'boggledStationRecolonizeTransplutonicsCost',
	'quantity' : 125,
	'job_id' : 'Ab_S'
}"
,
ability_deploy_planet_killer_target_planet_story_critical,,TargetPlanetStoryCritical,true,
ability_deploy_planet_killer_target_planet_story_critical_setting,,BooleanSettingIsTrue,false,"{
	'setting_id' : 'boggledPlanetKillerAllowDestructionOfColoniesMarkedAsEssentialForQuests',
	'invert_setting' : 'true',
	'requirement_id' : 'ability_deploy_planet_killer_target_planet_story_critical'
}"
ability_deploy_planet_killer_target_planet_within_range,,TargetPlanetWithinDistance,false,500
ability_deploy_planet_killer_fleet_contains_planet_killer_device,,FleetStorageContainsAtLeast,false,"{
	'special_item_id' : 'boggled_planetkiller',
	'quantity' : 1
}"
,
