id,enable_settings,effect_type,data
ability_siphon_station_remove_credits_from_fleet,,RemoveItemFromFleetStorage,"{
	'setting_id' : 'boggledSiphonStationBuildCreditCost',
	'quantity' : 500000
}"
add_siphon_station_to_orbit,,AddStationToOrbit,"{
	'station_type' : 'boggled_siphon',
	'station_name' : 'Siphon Station',
	'num_stations_per_layer' : 8,
	'orbit_radius' : 50,

	'station_construction_data' : {
		'resources_to_highlight' : [ 'volatiles' ],
		'industries_to_queue' : [ 'mining' ]
	},
}"
aotd_add_siphon_station_to_orbit,,AddStationToOrbit,"{
	'station_type' : 'boggled_siphon',
	'station_name' : 'Siphon Station',
	'num_stations_per_layer' : 8,
	'orbit_radius' : 50,

	'station_construction_data' : {
		'resources_to_highlight' : [ 'volatiles' ],
		'industries_to_queue' : [ 'extractive' ]
	},
}"
,,
ability_colonize_abandoned_station_remove_crew_from_fleet,,RemoveItemFromFleetStorage,"{
	'commodity_id' : 'crew',
	'setting_id' : 'boggledStationRecolonizeCrewCost',
	'quantity' : 500
}"
ability_colonize_abandoned_station_remove_heavy_machinery_from_fleet,,RemoveItemFromFleetStorage,"{
	'commodity_id' : 'heavy_machinery',
	'setting_id' : 'boggledStationRecolonizeHeavyMachineryCost',
	'quantity' : 125
}"
ability_colonize_abandoned_station_remove_metals_from_fleet,,RemoveItemFromFleetStorage,"{
	'commodity_id' : 'metals',
	'setting_id' : 'boggledStationRecolonizeMetalCost',
	'quantity' : 500
}"
ability_colonize_abandoned_station_remove_transplutonics_from_fleet,,RemoveItemFromFleetStorage,"{
	'commodity_id' : 'rare_metals',
	'setting_id' : 'boggledStationRecolonizeTransplutonicsCost',
	'quantity' : 125
}"
ability_colonize_abandoned_station_remove_credits_from_fleet,,RemoveItemFromFleetStorage,"{
	'setting_id' : 'boggledStationRecolonizeCreditCost',
	'quantity' : 250000
}"
colonize_abandoned_station,,ColonizeAbandonedStation,"{
	'station_colonization_data' : {
		'boggled_astropolis' : {},
		'boggled_mining' : {
			'resources_to_highlight' : [ 'ore', 'rare_ore' ],
			'industries_to_queue' : [ 'mining' ]
		},
		'boggled_siphon' : {
			'resources_to_highlight' : [ 'volatiles' ],
			'industries_to_queue' : [ 'mining' ]
		},
		'boggled_gatekeeper_station' : {
			'industries_to_queue' : [ 'ASTRAL_GATE' ]
		}
	}
}"
aotd_colonize_abandoned_station,,ColonizeAbandonedStation,"{
	'station_colonization_data' : {
		'boggled_astropolis' : {},
		'boggled_mining' : {
			'resources_to_highlight' : [ 'ore', 'rare_ore' ],
			'industries_to_queue' : [ 'extractive' ]
		},
		'boggled_siphon' : {
			'resources_to_highlight' : [ 'volatiles' ],
			'industries_to_queue' : [ 'extractive' ]
		},
		'boggled_gatekeeper_station' : {
			'industries_to_queue' : [ 'ASTRAL_GATE' ]
		}
	}
}"

ability_deploy_planet_killer_remove_planet_killer_device_from_fleet,,RemoveItemFromFleetStorage,"{ 'special_item_id' : 'boggled_planetkiller', 'quantity' : 1 }"
ability_deploy_planet_killer_adjust_faction_relations,,AdjustRelationsWithAllExcept,"{
	'faction_id_to_adjust_relations_to' : 'player',
	'faction_ids_to_not_adjust_relations' : [ 'player', 'derelict', 'omega', 'remnant', 'sleeper' ],
	'new_relation_value' : -100
}"
ability_deploy_planet_killer_trigger_military_response,,TriggerMilitaryResponse,"{
	'response_fraction' : 0.75,
	'response_duration' : 30
}"
ability_deploy_planet_killer_decivilize_market,,DecivilizeMarket,"{
	'faction_ids_to_not_make_hostile' : [ 'player', 'derelict', 'omega', 'remnant', 'sleeper' ]
}"
ability_deploy_planet_killer_change_conditions_1,,EffectWithRequirement,"{
	'requirements' : [
		{ 'requirement_id' : 'market_is_not_station' },
		{ 'requirement_id' : 'planet_not_star' },
		{ 'requirement_id' : 'planet_not_gas_giant', },
		{ 'requirement_id' : 'planet_not_volcanic', },
		{ 'requirement_id' : 'planet_not_unknown' }
	],
	'effects' : [ 'irradiated_type_change', 'market_add_irradiated', 'market_remove_habitable', 'market_remove_mild_climate', 'market_remove_water_surface', 'market_remove_volturnian_lobster_pens', 'market_remove_inimical_biosphere', 'market_remove_farmland_poor', 'market_remove_farmland_adequate', 'market_remove_farmland_rich', 'market_remove_farmland_bountiful' ]
}"
ability_deploy_planet_killer_change_conditions_2,,EffectWithRequirement,"{
	'requirements' : [
		{ 'requirement_id' : 'planet_not_gas_giant' },
		{ 'requirement_id' : 'planet_not_unknown' }
	],
	'effects' : [ 'market_remove_organics_trace', 'market_remove_organics_common', 'market_remove_organics_abundant', 'market_remove_organics_plentiful', 'market_remove_volatiles_trace', 'market_remove_volatiles_diffuse', 'market_remove_volatiles_abundant', 'market_remove_volatiles_plentiful' ]
}"

ongoing_flat_demand_1_domain_artifacts,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDemandFlat,"{ 'commodity_id' : 'domain_artifacts', 'quantity' : 1 }"
ongoing_flat_demand_3_domain_artifacts,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDemandFlat,"{ 'commodity_id' : 'domain_artifacts', 'quantity' : 3 }"
ongoing_flat_demand_4_domain_artifacts,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDemandFlat,"{ 'commodity_id' : 'domain_artifacts', 'quantity' : 4 }"
ongoing_flat_demand_3_supplies,,CommodityDemandFlat,"{ 'commodity_id' : 'supplies', 'quantity' : 3 }"
ongoing_flat_demand_3_organics,,CommodityDemandFlat,"{ 'commodity_id' : 'organics', 'quantity' : 3 }"

ongoing_market_size_minus_2_demand_domain_artifacts,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDemandMarketSize,"{ 'commodity_id' : 'domain_artifacts', 'quantity' : -2 }"
ongoing_market_size_demand_domain_artifacts,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDemandMarketSize,"{ 'commodity_id' : 'domain_artifacts', 'quantity' : 0 }"

ongoing_player_market_size_else_flat_demand_domain_artifacts,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDemandPlayerMarketSizeElseFlat,"{ 'commodity_id' : 'domain_artifacts', 'quantity' : 4 }"

ongoing_market_size_demand_fuel,,CommodityDemandMarketSize,"{ 'commodity_id' : 'fuel', 'quantity' : 0 }"
ongoing_market_size_demand_supplies,,CommodityDemandMarketSize,"{ 'commodity_id' : 'supplies', 'quantity' : 0 }"
ongoing_market_size_demand_ships,,CommodityDemandMarketSize,"{ 'commodity_id' : 'ships', 'quantity' : 0 }"
ongoing_market_size_demand_heavy_machinery,,CommodityDemandMarketSize,"{ 'commodity_id' : 'heavy_machinery', 'quantity' : 0 }"

ongoing_market_size_minus_2_demand_heavy_machinery,,CommodityDemandMarketSize,"{ 'commodity_id' : 'heavy_machinery', 'quantity' : -2 }"

ongoing_flat_demand_6_heavy_machinery,,CommodityDemandFlat,"{ 'commodity_id' : 'heavy_machinery', 'quantity' : 6 }"

ongoing_flat_demand_7_domain_artifacts,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDemandFlat,"{ 'commodity_id' : 'domain_artifacts', 'quantity' : 7 }"
ongoing_flat_demand_11_metals,,CommodityDemandFlat,"{ 'commodity_id' : 'metals', 'quantity' : 11 }"
ongoing_flat_demand_9_rare_metals,,CommodityDemandFlat,"{ 'commodity_id' : 'rare_metals', 'quantity' : 9 }"
ongoing_flat_demand_7_heavy_machinery,,CommodityDemandFlat,"{ 'commodity_id' : 'heavy_machinery', 'quantity' : 7 }"
ongoing_flat_demand_7_supplies,,CommodityDemandFlat,"{ 'commodity_id' : 'supplies', 'quantity' : 7 }"

ongoing_market_size_supply_food,,CommoditySupplyMarketSize,"{ 'commodity_id' : 'food', 'quantity' : 0 }"

ongoing_flat_supply_6_organs,,CommoditySupplyFlat,"{ 'commodity_id' : 'organs', 'quantity' : 6 }"
ongoing_market_size_minus_2_supply_organs,,CommoditySupplyMarketSize,"{ 'commodity_id' : 'organs', 'quantity' : -2 }"

ongoing_heavy_machinery_deficit_to_food,,CommodityDeficitToProduction,"{
	'commodities_demanded' : [ 'heavy_machinery' ],
	'commodities_deficited' : [ 'food' ]
}"
ongoing_domain_artifacts_deficit_to_organs,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDeficitToProduction,"{
	'commodities_demanded' : [ 'domain_artifacts' ],
	'commodities_deficited' : [ 'organs' ]
}"
ongoing_domain_artifacts_deficit_to_5_times_upkeep,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDeficitModifierToUpkeep,"{
	'commodities_demanded' : [ 'domain_artifacts' ],
	'modifier_type' : 'mult',
	'value' : 5.0
}"

ongoing_supplies_organics_deficit_max_1_to_organs,,CommodityDeficitToProduction,"{
	'commodities_demanded' : [ 'supplies', 'organics' ],
	'commodities_deficited' : [ 'organs' ],
	'max_deficit' : 1
}"
ongoing_domain_artifacts_deficit_max_1_to_organs,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,CommodityDeficitToProduction,"{
	'commodities_demanded' : [ 'domain_artifacts' ],
	'commodities_deficited' : [ 'organs' ],
	'max_deficit' : 1
}"

ongoing_modify_pather_interest_plus_1,,ModifyPatherInterest,"{ 'modifier_type' : 'flat', 'value' : 1 }"
ongoing_modify_pather_interest_plus_2,,ModifyPatherInterest,"{ 'modifier_type' : 'flat', 'value' : 2 }"
ongoing_modify_pather_interest_plus_3,,ModifyPatherInterest,"{ 'modifier_type' : 'flat', 'value' : 3 }"
ongoing_modify_pather_interest_plus_4,,ModifyPatherInterest,"{ 'modifier_type' : 'flat', 'value' : 4 }"

default_improve_bonus,,ModifyIndustrySupplyWithDeficit,"{ 'modifier_type' : 'flat', 'value' : 1 }"

default_ai_core_upkeep_bonus,,ModifyIndustryUpkeep,"{ 'modifier_type' : 'mult', 'value' : 0.75, 'display_type' : 'percent' }"
default_ai_core_demand_bonus,,ModifyIndustryDemand,"{ 'modifier_type' : 'flat', 'value' : -1 }"
default_ai_core_supply_bonus,,ModifyIndustrySupplyWithDeficit,"{ 'modifier_type' : 'flat', 'value' : 1 }"

ai_mining_drones_alpha_core_bonus_to_mining,,ModifyIndustrySupplyWithDeficit,"{
	'commodities_demanded' : [ 'fuel', 'supplies', 'ships' ],
	'modifier_type' : 'flat',
	'value' : 3
}"
ai_mining_drones_beta_core_bonus_to_mining,,ModifyIndustrySupplyWithDeficit,"{
	'commodities_demanded' : [ 'fuel', 'supplies', 'ships' ],
	'modifier_type' : 'flat',
	'value' : 2
}"
ai_mining_drones_gamma_core_bonus_to_mining,,ModifyIndustrySupplyWithDeficit,"{
	'commodities_demanded' : [ 'fuel', 'supplies', 'ships' ],
	'modifier_type' : 'flat',
	'value' : 1
}"

ai_mining_drones_alpha_core_effect_to_mining,,EffectToIndustry,"{
	'industry_id' : 'mining',
	'effect_id' : 'ai_mining_drones_alpha_core_bonus_to_mining'
}"
ai_mining_drones_beta_core_effect_to_mining,,EffectToIndustry,"{
	'industry_id' : 'mining',
	'effect_id' : 'ai_mining_drones_beta_core_bonus_to_mining'
}"
ai_mining_drones_gamma_core_effect_to_mining,,EffectToIndustry,"{
	'industry_id' : 'mining',
	'effect_id' : 'ai_mining_drones_gamma_core_bonus_to_mining'
}"

ai_mining_drones_improve_bonus_to_accessibility,,ModifyColonyAccessibility,"{ 'modifier_type' : 'mult', 'value' : 1.20 }"

chameleon_alpha_core_eliminate_pather_interest,,EliminatePatherInterest,

chameleon_improve_bonus_to_stability,,ModifyColonyStability,"{ 'modifier_type' : 'flat', 'value' : 1 }"

cloning_modify_colony_growth,,ModifyColonyGrowthRate,"{ 'modifier_type' : 'market_size', 'value' : -1 }"

domain_archaeology_ruins_scattered_effect,,EffectWithRequirement,"{
	'requirements' : [ { 'requirement_id' : 'industry_effects_domain_archaeology_colony_ruins_scattered' } ],
	'effects' : [ 'ongoing_modify_pather_interest_plus_1' ]
}"
domain_archaeology_ruins_widespread_effect,,EffectWithRequirement,"{
	'requirements' : [ { 'requirement_id' : 'industry_effects_domain_archaeology_colony_ruins_widespread' } ],
	'effects' : [ 'ongoing_modify_pather_interest_plus_2' ]
}"
domain_archaeology_ruins_extensive_effect,,EffectWithRequirement,"{
	'requirements' : [ { 'requirement_id' : 'industry_effects_domain_archaeology_colony_ruins_extensive' } ],
	'effects' : [ 'ongoing_modify_pather_interest_plus_3' ]
}"
domain_archaeology_ruins_vast_effect,,EffectWithRequirement,"{
	'requirements' : [ { 'requirement_id' : 'industry_effects_domain_archaeology_colony_ruins_vast' } ],
	'effects' : [ 'ongoing_modify_pather_interest_plus_4' ]
}"

domed_cities_suppress_conditions,,SuppressConditions,"[ 'no_atmosphere', 'thin_atmosphere', 'dense_atmosphere', 'toxic_atmosphere', 'extreme_weather', 'inimical_biosphere', 'US_storm' ]"
domed_cities_modify_colony_growth,,ModifyColonyGrowthRate,"{ 'modifier_type' : 'market_size', 'value' : -1 }"
domed_cities_modify_ground_defense,boggledDomedCitiesDefensePenaltyEnabled,ModifyColonyGroundDefense,"{ 'modifier_type' : 'mult', 'value' : 0.05 }"

seafloor_cities_suppress_conditions,,SuppressConditions,"[ 'water_surface' ]"
seafloor_cities_modify_ground_defenses,,ModifyColonyGroundDefense,"{ 'modifier_type' : 'mult', 'value' : 6 }"
seafloor_cities_modify_accessibility,,ModifyColonyAccessibility,"{ 'modifier_type' : 'percent', 'value' : -10 }"

domed_cities_alpha_core_stability_bonus,,ModifyColonyStability,"{ 'modifier_type' : 'flat', 'value' : 3 }"
domed_cities_beta_core_stability_bonus,,ModifyColonyStability,"{ 'modifier_type' : 'flat', 'value' : 2 }"
domed_cities_gamma_core_stability_bonus,,ModifyColonyStability,"{ 'modifier_type' : 'flat', 'value' : 1 }"

domed_cities_improve_stability_bonus,,ModifyColonyStability,"{ 'modifier_type' : 'flat', 'value' : 1 }"

expand_station_increment_tag,,StepTag,"{ 'tag' : 'boggled_station_construction_numExpansions_', 'step' : 1 }"
expand_station_build_cost_modifier,boggledStationProgressiveIncreaseInCostsToExpandStation,TagSubstringPowerModifyBuildCost,"{ 'tag' : 'boggled_station_construction_numExpansions_', 'default' : 0 }"
expand_station_remove_on_completion,,IndustryRemove,"{ 'industry_id' : 'BOGGLED_STATION_EXPANSION' }"

genelab_income_bonus_to_mesozoic_park_effect,,ModifyIndustryIncome,"{ 'modifier_type' : 'mult', 'value' : 1.5 }"
genelab_income_bonus_to_mesozoic_park,,EffectToIndustry,"{
	'industry_id' : 'BOGGLED_MESOZOIC_PARK',
	'effect_id' : 'genelab_income_bonus_to_mesozoic_park_effect'
}"
genelab_apply_effect_to_mesozoic_park,,EffectWithRequirement,"{
	'requirements' : [ { 'requirement_id' : 'industry_genelab_mesozoic_park_income_does_not_have_shortage' } ],
	'effects' : [ 'genelab_income_bonus_to_mesozoic_park' ]
}"

harmonic_damper_suppress_conditions,,SuppressConditions,"[ 'tectonic_activity', 'extreme_tectonic_activity' ]"

