id,enable_settings,project_type,tooltip,tooltip_highlights,intel_complete_message,requirements,requirements_hidden,base_project_duration,dynamic_project_duration_modifiers,requirements_stall,requirements_reset,project_complete_effects,project_ongoing_effects,incomplete_message,incomplete_message_highlights,disrupted_message,disrupted_message_highlights
,,,,,,,,,,,,,,,,,
extreme_weather_condition_improvement,boggledTerraformingContentEnabled,terraforming,"Stabilize weather patterns",,Completed,"[
	{ 'requirement_id' : 'terraforming_world_type_allows_terraforming' },
	{ 'requirement_id' : 'terraforming_colony_has_extreme_weather' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_has_atmosphere_processor' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'condition_improvement_setting' ],,,"[ 'market_remove_extreme_weather' ]","[ 'attach_project_to_atmosphere_processor' ]",,,,
mild_climate_condition_improvement,boggledTerraformingContentEnabled,terraforming,"Make climate mild",,Completed,"[
	{ 'requirement_id' : 'terraforming_colony_has_normal_climate' },
	{ 'requirement_id' : 'terraforming_colony_habitable' },
	{ 'requirement_id' : 'terraforming_world_type_allows_mild_climate' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_has_atmosphere_processor' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'condition_improvement_setting' ],,,"[ 'market_add_mild_climate' ]","[ 'attach_project_to_atmosphere_processor' ]",,,,
habitable_condition_improvement,boggledTerraformingContentEnabled,terraforming,"Make atmosphere habitable",,Completed,"[
	{ 'requirement_id' : 'terraforming_colony_not_habitable' },
	{ 'requirement_id' : 'terraforming_world_type_allows_human_habitability' },
	{ 'requirement_id' : 'terraforming_colony_atmospheric_density_normal' },
	{ 'requirement_id' : 'terraforming_colony_not_very_cold_or_very_hot' },
	{ 'requirement_id' : 'terraforming_colony_atmosphere_not_toxic_or_irradiated' },
	{ 'requirement_id' : 'terraforming_colony_has_atmosphere_processor' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'condition_improvement_setting' ],,,"[ 'market_add_habitable' ]","[ 'attach_project_to_atmosphere_processor' ]",,,,
atmosphere_density_condition_improvement,boggledTerraformingContentEnabled,terraforming,"Normalize atmospheric density",,Completed,"[
	{ 'requirement_id' : 'terraforming_colony_atmosphere_suboptimal_density' },
	{ 'requirement_id' : 'terraforming_world_type_allows_terraforming' },
	{ 'requirement_id' : 'terraforming_colony_has_atmosphere_processor' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'condition_improvement_setting' ],,,"[
	'market_remove_no_atmosphere',
	'market_remove_thin_atmosphere',
	'market_remove_dense_atmosphere'
]","[ 'attach_project_to_atmosphere_processor' ]",,,,
toxic_atmosphere_condition_improvement,boggledTerraformingContentEnabled,terraforming,"Reduce atmospheric toxicity",,Completed,"[
	{ 'requirement_id' : 'terraforming_colony_atmosphere_toxic' },
	{ 'requirement_id' : 'terraforming_world_type_allows_terraforming' },
	{ 'requirement_id' : 'terraforming_colony_has_atmosphere_processor' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'condition_improvement_setting' ],,,"[ 'market_remove_toxic_atmosphere' ]","[ 'attach_project_to_atmosphere_processor' ]",,,,
irradiated_condition_improvement,boggledTerraformingContentEnabled | boggledTerraformingRemoveRadiationProjectEnabled,terraforming,"Remove atmospheric radiation",,Completed,"[
	{ 'requirement_id' : 'terraforming_colony_irradiated' },
	{ 'requirement_id' : 'terraforming_colony_has_genelab' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'condition_improvement_setting' ],,,"[ 'market_remove_irradiated' ]","[ 'attach_project_to_genelab' ]",,,,
remove_atmosphere_condition_improvement,boggledTerraformingContentEnabled | boggledTerraformingRemoveAtmosphereProjectEnabled,terraforming,"Remove the atmosphere",,Completed,"[
	{ 'requirement_id' : 'terraforming_colony_has_atmosphere' },
	{ 'requirement_id' : 'terraforming_colony_barren_or_frozen' },
	{ 'requirement_id' : 'terraforming_colony_has_atmosphere_processor' }
]","[ { 'requirement_id' : 'market_is_not_station' } ]",200,[ 'condition_improvement_setting' ],,,"[
	'market_add_no_atmosphere',
	'market_remove_thin_atmosphere',
	'market_remove_toxic_atmosphere',
	'market_remove_dense_atmosphere',
	'market_remove_pollution',
	'market_remove_inimical_biosphere',
	'market_remove_extreme_weather',
	'market_remove_mild_climate',
	'market_remove_habitable',

	'industry_remove_mesozoic_park'
]","[ 'attach_project_to_atmosphere_processor' ]",,,,
,,,,,,,,,,,,,,,,,
craft_corrupted_nanoforge,boggledDomainTechCraftingEnabled,crafting,"Craft Corrupted Nanoforge",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_easy_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_corrupted_nanoforge_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_easy_from_storage'
]",,,,,
craft_pristine_nanoforge,boggledDomainTechCraftingEnabled,crafting,"Craft Pristine Nanoforge",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_hard_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_pristine_nanoforge_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_hard_from_storage'
]",,,,,
craft_synchrotron_core,boggledDomainTechCraftingEnabled,crafting,"Craft Synchrotron Core",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_medium_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_synchrotron_core_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_medium_from_storage'
]",,,,,
craft_hypershunt_tap,boggledDomainTechCraftingEnabled,crafting,"Craft Hypershunt Tap",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_hard_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_hypershunt_tap_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_hard_from_storage'
]",,,,,
craft_cryoarithmetic_engine,boggledDomainTechCraftingEnabled,crafting,"Craft Cryoarithmetic Engine",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_medium_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_cryoarithmetic_engine_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_medium_from_storage'
]",,,,,
craft_planetkiller_device,boggledDomainTechCraftingEnabled | boggledPlanetKillerEnabled,crafting,"Craft Planetkiller Device",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_hard_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_planetkiller_device_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_hard_from_storage'
]",,,,,
craft_orbital_fusion_lamp,boggledDomainTechCraftingEnabled,crafting,"Craft Orbital Fusion Lamp",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_hard_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_orbital_fusion_lamp_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_hard_from_storage'
]",,,,,
craft_fullerene_spool,boggledDomainTechCraftingEnabled,crafting,"Craft Fullerene Spool",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_medium_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_fullerene_spool_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_medium_from_storage'
]",,,,,
craft_plasma_dynamo,boggledDomainTechCraftingEnabled,crafting,"Craft Plasma Dynamo",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_medium_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_plasma_dynamo_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_medium_from_storage'
]",,,,,
craft_autonomous_mantle_bore,boggledDomainTechCraftingEnabled,crafting,"Craft Autonomous Mantle Bore",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_medium_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_autonomous_mantle_bore_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_medium_from_storage'
]",,,,,
craft_soil_nanites,boggledDomainTechCraftingEnabled,crafting,"Craft Soil Nanites",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_medium_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_soil_nanites_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_medium_from_storage'
]",,,,,
craft_catalytic_core,boggledDomainTechCraftingEnabled,crafting,"Craft Catalytic Core",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_medium_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_catalytic_core_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_medium_from_storage'
]",,,,,
craft_drone_replicator,boggledDomainTechCraftingEnabled,crafting,"Craft Drone Replicator",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_easy_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_drone_replicator_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_easy_from_storage'
]",,,,,
craft_biofactory_embryo,boggledDomainTechCraftingEnabled,crafting,"Craft Biofactory Embryo",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_medium_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_biofactory_embryo_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_medium_from_storage'
]",,,,,
craft_dealmaker_holosuite,boggledDomainTechCraftingEnabled,crafting,"Craft Dealmaker Holosuite",,Crafted,"[
	{ 'requirement_id' : 'crafting_colony_has_at_least_100k_inhabitants' },
	{ 'requirement_id' : 'crafting_colony_has_orbital_works_with_pristine_nanoforge' },
	{ 'requirement_id' : 'crafting_colony_storage_contains_at_least_easy_domain_artifacts' },
	{ 'requirement_id' : 'crafting_player_has_at_least_2_story_points' }
]",,,,,,"[
	'add_dealmaker_holosuite_to_storage',
	'remove_2_story_points_from_player',
	'remove_domain_artifacts_easy_from_storage'
]",,,,,
,,,,,,,,,,,,,,,,
boggled_construct_astropolis_station,boggledAstropolisEnabled,ability,"Construct an astropolis station in orbit around a planet or moon.",,,"[
	{ 'requirement_id' : 'ability_astropolis_station_player_fleet_not_in_hyperspace', 'and_then' : [
		{ 'requirement_id' : 'ability_astropolis_station_system_has_jump_points', 'and_then' : [
			{ 'requirement_id' : 'ability_astropolis_station_system_has_planets', 'and_then' : [
				{ 'requirement_id' : 'ability_astropolis_station_target_planet_within_range' },
				{ 'requirement_id' : 'ability_astropolis_station_target_planet_owned_by_player' },
				{ 'requirement_id' : 'ability_astropolis_station_target_planet_too_small' },
				{ 'requirement_id' : 'ability_astropolis_station_target_planet_too_close_to_orbit_focus' },
				{ 'requirement_id' : 'ability_astropolis_station_target_planet_too_close_to_star' },
				{ 'requirement_id' : 'ability_astropolis_station_target_planet_moon_too_close' },
				{ 'requirement_id' : 'ability_astropolis_station_target_planet_too_many_moons' },
				{ 'requirement_id' : 'ability_astropolis_station_target_planet_too_crowded' },
				{ 'requirement_id' : 'ability_astropolis_station_target_planet_too_many_stations' }
			] }
		] }
	] },

	{ 'requirement_id' : 'ability_astropolis_station_fleet_contains_credits' },
	{ 'requirement_id' : 'ability_astropolis_station_fleet_contains_crew' },
	{ 'requirement_id' : 'ability_astropolis_station_fleet_contains_heavy_machinery' },
	{ 'requirement_id' : 'ability_astropolis_station_fleet_contains_metals' },
	{ 'requirement_id' : 'ability_astropolis_station_fleet_contains_transplutonics' }
]",,0,[ 'station_construction_setting' ],,,"[
	'ability_astropolis_station_remove_credits_from_fleet',
	'ability_astropolis_station_remove_crew_from_fleet',
	'ability_astropolis_station_remove_heavy_machinery_from_fleet',
	'ability_astropolis_station_remove_metals_from_fleet',
	'ability_astropolis_station_remove_transplutonics_from_fleet',
	'add_astropolis_station_to_orbit'
]",,,,,
boggled_construct_mining_station,boggledMiningStationEnabled,ability,"Construct a mining station in an asteroid belt or asteroid field.",,,"[
	{ 'requirement_id' : 'ability_mining_station_player_fleet_not_in_hyperspace', 'and_then' : [
		{ 'requirement_id' : 'ability_mining_station_system_has_jump_points', 'and_then' : [
			{ 'requirement_id' : 'ability_mining_station_too_close_to_jump_point' },
			{ 'requirement_id' : 'ability_mining_station_too_many_stations' },
			{ 'requirement_id' : 'ability_mining_station_fleet_in_asteroid_belt_or_field' }
		] }
	] },

	{ 'requirement_id' : 'ability_mining_station_fleet_contains_credits' },
	{ 'requirement_id' : 'ability_mining_station_fleet_contains_crew' },
	{ 'requirement_id' : 'ability_mining_station_fleet_contains_heavy_machinery' },
	{ 'requirement_id' : 'ability_mining_station_fleet_contains_metals' },
	{ 'requirement_id' : 'ability_mining_station_fleet_contains_transplutonics' }
]",,0,[ 'station_construction_setting' ],,,"[
	'ability_mining_station_remove_credits_from_fleet',
	'ability_mining_station_remove_crew_from_fleet',
	'ability_mining_station_remove_heavy_machinery_from_fleet',
	'ability_mining_station_remove_metals_from_fleet',
	'ability_mining_station_remove_transplutonics_from_fleet',
	'add_mining_station_to_entity'
]",,,,,
boggled_construct_siphon_station,boggledSiphonStationEnabled,ability,"Construct a siphon station in low orbit around a gas giant.",,,"[
	{ 'requirement_id' : 'ability_siphon_station_player_fleet_not_in_hyperspace', 'and_then' : [
		{ 'requirement_id' : 'ability_siphon_station_system_has_jump_points', 'and_then' : [
			{ 'requirement_id' : 'ability_siphon_station_target_planet_is_gas_giant' },
			{ 'requirement_id' : 'ability_siphon_station_target_planet_within_range' },
			{ 'requirement_id' : 'ability_siphon_station_target_planet_owned_by_player_or_neutral' },
			{ 'requirement_id' : 'ability_siphon_station_target_planet_moon_too_close' },

			{ 'requirement_id' : 'ability_siphon_station_target_planet_too_many_stations' }
		] }
	] },

	{ 'requirement_id' : 'ability_siphon_station_fleet_contains_credits' },
	{ 'requirement_id' : 'ability_siphon_station_fleet_contains_crew' },
	{ 'requirement_id' : 'ability_siphon_station_fleet_contains_heavy_machinery' },
	{ 'requirement_id' : 'ability_siphon_station_fleet_contains_metals' },
	{ 'requirement_id' : 'ability_siphon_station_fleet_contains_transplutonics' }
]",,0,[ 'station_construction_setting' ],,,"[
	'ability_siphon_station_remove_credits_from_fleet',
	'ability_siphon_station_remove_crew_from_fleet',
	'ability_siphon_station_remove_heavy_machinery_from_fleet',
	'ability_siphon_station_remove_metals_from_fleet',
	'ability_siphon_station_remove_transplutonics_from_fleet',
	'add_siphon_station_to_orbit'
]",,,,,
boggled_colonize_abandoned_station,boggledStationColonizationEnabled,ability,"Colonize an abandoned station.",,,"[
	{ 'requirement_id' : 'ability_colonize_abandoned_station_player_fleet_not_in_hyperspace', 'and_then' : [
		{ 'requirement_id' : 'ability_colonize_abandoned_station_system_has_jump_points', 'and_then' : [
			{ 'requirement_id' : 'ability_colonize_abandoned_station_system_has_station', 'and_then' : [
				{ 'requirement_id' : 'ability_colonize_abandoned_station_target_station_within_range' },
				{ 'requirement_id' : 'ability_colonize_abandoned_station_target_station_owned_by_player_or_neutral' },
				{ 'requirement_id' : 'ability_colonize_abandoned_station_target_station_size_0', 'and_then' : [
					{ 'requirement_id' : 'ability_colonize_abandoned_station_target_station_colonizable' }
				] }
			] }
		] }
	] },

	{ 'requirement_id' : 'ability_colonize_abandoned_station_fleet_contains_credits' },
	{ 'requirement_id' : 'ability_colonize_abandoned_station_fleet_contains_crew' },
	{ 'requirement_id' : 'ability_colonize_abandoned_station_fleet_contains_heavy_machinery' },
	{ 'requirement_id' : 'ability_colonize_abandoned_station_fleet_contains_metals' },
	{ 'requirement_id' : 'ability_colonize_abandoned_station_fleet_contains_transplutonics' }
]",,0,[ 'station_construction_setting' ],,,"[
	'ability_colonize_abandoned_station_remove_credits_from_fleet',
	'ability_colonize_abandoned_station_remove_crew_from_fleet',
	'ability_colonize_abandoned_station_remove_heavy_machinery_from_fleet',
	'ability_colonize_abandoned_station_remove_metals_from_fleet',
	'ability_colonize_abandoned_station_remove_transplutonics_from_fleet',
	'colonize_abandoned_station'
]",,,,,
